trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.029199522301288815}",20,0,-54.25786602755887,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.7373937155412458}",25,0,-74.38393930907964,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.9982947757947531}",20,0,-165.04855529640253,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.8, 'e': 0.6536436208636119}",20,0,-114.16923505797638,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.08749898343944729}",20,0,-7.468620304485061,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.7755658785102502}",20,0,-146.135416233779,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.8, 'e': 0.9931849187581926}",30,0,-96.97934275903589,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.6083513145322546}",25,0,-48.42672564343442,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.14550003380861354}",20,0,-11.573259388114671,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.811093014061656}",25,0,-157.80057685167776,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.8, 'e': 0.9846878557941267}",30,0,-111.3521746621087,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.5609842574272288}",20,0,-105.94644558070264,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.20300486381875216}",20,12,-2.755318257450824,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.8438539587324921}",25,16,7.30328506405049,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.9728325656974354}",30,18,-92.83709228797684,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 2}",1
16,False,"{'a': 0.8, 'e': 0.5117039924531475}",20,0,-110.34728677202882,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
17,False,"{'a': 0.8, 'e': 0.25981735621375585}",25,0,-101.392657018495,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.8737369830110809}",20,0,-35.8683477172626,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.8, 'e': 0.9576594803233847}",25,0,-106.34494171733587,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
