trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.20349355697407,"{0: 14, 1: 7, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,5,-79.42268853387833,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.78487165499448,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.690176919963854,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.07983620008852,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-217.3050850717757,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.6386881153477,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.74702998481047,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-159.1861469641482,"{0: 20, 1: 4, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.9589493874838,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.12904752235974,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.3457523045525,"{0: 9, 1: 2, 2: 4, 3: 4, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.71530491563136,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-241.2720647992822,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.058008461057,"{0: 11, 1: 1, 2: 3, 3: 4, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-213.13437187511403,"{0: 10, 1: 6, 2: 5, 3: 1, 4: 3}",0
